Step,external_noise_direct,external_noise_prefix,external_noise_direct_ma25,external_noise_prefix_ma25,self_noise_direct,self_noise_prefix,self_noise_direct_ma25,self_noise_prefix_ma25,random_noise_direct,random_noise_prefix,random_noise_direct_ma25,random_noise_prefix_ma25
113,0.813725471496582,0.6346153616905212,0.7958252644538879,0.628937509059906,0.7916666865348816,0.234375,0.77742347240448,0.3561250001192093,0.8385416865348816,0.8125,0.7885416650772095,0.766875
114,0.831632673740387,0.6666666865348816,0.7936248302459716,0.6368605864048004,0.796875,0.359375,0.7751318049430848,0.3405000001192093,0.8229166865348816,0.875,0.7854166650772094,0.76625
115,0.7099999785423279,0.4821428656578064,0.7872983002662659,0.6268605864048005,0.7602040767669678,0.2833333313465118,0.7688818049430847,0.3336250001192093,0.7552083134651184,0.765625,0.7777083325386047,0.759375
116,0.7836538553237915,0.6875,0.7754433989524842,0.6196078395843506,0.7760416865348816,0.46875,0.7586734700202942,0.3273750001192093,0.78125,0.734375,0.7672916674613952,0.74625
117,0.7836538553237915,0.6041666865348816,0.7754433989524842,0.6219155335426331,0.7604166865348816,0.28125,0.7589243221282959,0.33162499964237213,0.7760416865348816,0.796875,0.7677083349227906,0.748125
118,0.7950000166893005,0.6785714030265808,0.7757073521614075,0.6251206636428833,0.7755101919174194,0.4166666567325592,0.7593409895896912,0.33662499964237214,0.7760416865348816,0.8125,0.767916669845581,0.750625
119,0.7264150977134705,0.4545454680919647,0.7812503385543823,0.6315309190750122,0.6875,0.28125,0.7626743245124817,0.32599999964237214,0.7135416865348816,0.640625,0.7714583373069763,0.755625
120,0.699999988079071,0.5178571343421936,0.7877169251441956,0.6344027149677277,0.6614583134651184,0.3125,0.7682993245124817,0.33662499964237214,0.6875,0.59375,0.7783333373069763,0.76375
121,0.8872548937797546,0.7884615659713745,0.7866752576828003,0.6357777154445649,0.859375,0.359375,0.7660076570510864,0.3403749996423721,0.8854166865348816,0.859375,0.7760416698455811,0.765625
122,0.8774510025978088,0.7884615659713745,0.7932752585411071,0.6472062861919403,0.8229166865348816,0.40625,0.7693452429771424,0.3467499995231628,0.859375,0.78125,0.7852083373069764,0.77375
123,0.8773584961891174,0.75,0.7982752585411071,0.6552062857151032,0.84375,0.265625,0.773303575515747,0.3548749995231628,0.8645833134651184,0.828125,0.7881250047683716,0.77625
124,0.9045454263687134,0.6388888955116272,0.7978670954704284,0.6471586668491364,0.8697916865348816,0.625,0.7737202429771424,0.35299999952316286,0.859375,0.84375,0.7864583396911621,0.77375
125,0.813725471496582,0.6538461446762085,0.8025840759277344,0.6526132106781006,0.7604166865348816,0.40625,0.7793452429771424,0.35362499952316284,0.8125,0.765625,0.7918750071525573,0.778125
126,0.7598039507865906,0.6730769276618958,0.8056350564956665,0.6543714523315429,0.7239583134651184,0.171875,0.7807398009300232,0.35958333253860475,0.71875,0.765625,0.7931250071525574,0.78
127,0.7193877696990967,0.550000011920929,0.8019697499275208,0.6484190702438355,0.6979166865348816,0.359375,0.7782398009300232,0.35270833253860473,0.7135416865348816,0.65625,0.7895833396911621,0.773125
128,0.5686274766921997,0.4615384638309479,0.8039779138565063,0.652466688156128,0.5364583134651184,0.171875,0.7763733053207398,0.35699999928474424,0.5416666865348816,0.484375,0.7883333396911621,0.770625
129,0.7941176295280457,0.692307710647583,0.8073256373405456,0.6549666881561279,0.8072916865348816,0.40625,0.7782483053207397,0.35074999928474426,0.8125,0.8125,0.7908333396911621,0.775
130,0.843137264251709,0.7884615659713745,0.8077794837951661,0.660085735321045,0.84375,0.421875,0.7790816378593445,0.3526249992847443,0.8385416865348816,0.828125,0.7904166722297669,0.771875
131,0.932692289352417,0.8333333134651184,0.8097794842720032,0.652228593826294,0.9010416865348816,0.1875,0.7813945627212524,0.3472083330154419,0.90625,0.9375,0.7937500047683715,0.7725
132,0.7892156839370728,0.5384615659713745,0.8146444487571717,0.6640467751026153,0.7604166865348816,0.4375,0.7868112301826478,0.35158333301544187,0.7708333134651184,0.78125,0.7989583373069763,0.77875
133,0.7239583134651184,0.734375,0.8140444493293763,0.6640467751026153,0.6927083134651184,0.34375,0.7863945651054383,0.3534583330154419,0.6875,0.71875,0.7972916698455811,0.78
134,0.875,0.875,0.8143234848976135,0.6591749799251556,0.8385416865348816,0.359375,0.785977897644043,0.3572083330154419,0.90625,0.890625,0.7958333349227905,0.778125
135,0.875,0.75,0.8028989148139953,0.6396365177631378,0.8645833134651184,0.5,0.7747278976440429,0.3478333330154419,0.8385416865348816,0.84375,0.7837500023841858,0.765625
136,0.75,0.4821428656578064,0.8057291030883789,0.640545607805252,0.734375,0.375,0.778477897644043,0.3597083330154419,0.7135416865348816,0.734375,0.7877083373069763,0.768125
137,0.9292452931404114,0.5909090638160706,0.7926085114479064,0.6316567182540893,0.9166666865348816,0.40625,0.7645195627212524,0.3465833330154419,0.9166666865348816,0.890625,0.7725000035762787,0.753125
138,0.8899999856948853,0.6785714030265808,0.7900594925880432,0.6301182579994201,0.8265306353569031,0.3833333253860473,0.7622278952598571,0.3397083330154419,0.8697916865348816,0.859375,0.7685416710376739,0.75125
139,0.7400000095367432,0.5178571343421936,0.792932641506195,0.6305285143852234,0.734375,0.1875,0.7663945627212524,0.3522083330154419,0.734375,0.703125,0.7729166710376739,0.753125
140,0.7602040767669678,0.5833333134651184,0.795177538394928,0.6325285148620605,0.7135416865348816,0.390625,0.7672278952598571,0.3553333330154419,0.7239583134651184,0.703125,0.7752083361148834,0.755625
141,0.8673469424247742,0.75,0.8036324381828308,0.6376384055614471,0.8229166865348816,0.3125,0.7747278952598572,0.3647083330154419,0.84375,0.84375,0.7837500011920929,0.763125
142,0.7950000166893005,0.7321428656578064,0.8052010655403137,0.634561482667923,0.78125,0.328125,0.7738945603370666,0.3647083330154419,0.765625,0.71875,0.7835416686534882,0.76125
143,0.8450000286102295,0.4821428656578064,0.807750084400177,0.6322537887096406,0.8333333134651184,0.28125,0.7753528928756714,0.3734583330154419,0.859375,0.828125,0.7860416686534881,0.764375
144,0.8480392098426819,0.75,0.8016423916816712,0.6239204561710358,0.8229166865348816,0.390625,0.7705612254142761,0.3759583330154419,0.84375,0.796875,0.7804166686534881,0.75625
